system,min_denom,qmax,seed,exact,runtime_s
ellipse_5711,11,64,2,True,0.0376239659999555
ellipse_5711,11,64,3,True,0.0374664390001271
ellipse_5711,11,64,4,True,0.0378122850015643
ellipse_5711,11,64,5,True,0.0374723079985415
ellipse_5711,11,64,6,True,0.0377101819976815
ellipse_5711,11,64,7,True,0.0376170900017314
ellipse_5711,11,64,8,True,0.0373013329990499
ellipse_5711,11,64,9,True,0.037536956002441
ellipse_5711,11,64,10,True,0.0378941710005165
ellipse_5711,11,64,11,True,0.0389927169999282
ellipse_5711,11,64,12,True,0.0375874910023412
ellipse_5711,11,64,13,True,0.0377013049983361
ellipse_5711,11,64,14,True,0.0375272300007054
ellipse_5711,11,64,15,True,0.0386769809992983
ellipse_5711,11,64,16,True,0.0377460580020851
ellipse_5711,11,64,17,True,0.0375125770005979
ellipse_5711,11,64,18,True,0.0377068820016575
ellipse_5711,11,64,19,True,0.0399744379974436
ellipse_5711,11,64,20,True,0.0379254030012816
ellipse_5711,11,64,21,True,0.0377651700000569
ellipse_5711,11,64,22,True,0.0377363670013437
ellipse_5711,11,64,23,True,0.0378063659991312
ellipse_5711,11,64,24,True,0.0375331510003889
ellipse_5711,11,64,25,True,0.0375668619999487
ellipse_5711,11,64,26,True,0.0375467259982542
ellipse_5711,11,64,27,True,0.0378335550012707
ellipse_5711,11,64,28,True,0.0376835669994761
ellipse_5711,11,64,29,True,0.0380175309983314
ellipse_71113,13,2,0,False,0.0057523420000507
ellipse_71113,13,2,1,False,0.0055370000009133
ellipse_71113,13,2,2,False,0.0055877260019769
ellipse_71113,13,2,3,False,0.0056369890007772
ellipse_71113,13,2,4,False,0.0055256160012504
ellipse_71113,13,2,5,False,0.0054758779988333
ellipse_71113,13,2,6,False,0.0055184709999593
ellipse_71113,13,2,7,False,0.0056677280008443
ellipse_71113,13,2,8,False,0.0054847159990458
ellipse_71113,13,2,9,False,0.005601212997135
ellipse_71113,13,2,10,False,0.0054885859972273
ellipse_71113,13,2,11,False,0.0054517979988304
ellipse_71113,13,2,12,False,0.0055143940007837
ellipse_71113,13,2,13,False,0.0055312949989456
ellipse_71113,13,2,14,False,0.0054727989991079
ellipse_71113,13,2,15,False,0.005465895999805
ellipse_71113,13,2,16,False,0.005618664999929
ellipse_71113,13,2,17,False,0.0055209520032803
ellipse_71113,13,2,18,False,0.0055507860015495
ellipse_71113,13,2,19,False,0.0055115260001912
ellipse_71113,13,2,20,False,0.0054255729992291
ellipse_71113,13,2,21,False,0.0056454770019627
ellipse_71113,13,2,22,False,0.0056166129979828
ellipse_71113,13,2,23,False,0.0054398009997385
ellipse_71113,13,2,24,False,0.0054093420003482
ellipse_71113,13,2,25,False,0.0054608609971182
ellipse_71113,13,2,26,False,0.0055083639999793
ellipse_71113,13,2,27,False,0.0054784579988336
ellipse_71113,13,2,28,False,0.0054271220033115
ellipse_71113,13,2,29,False,0.0055137210001703
ellipse_71113,13,4,0,False,0.0055604849985684
ellipse_71113,13,4,1,False,0.0056203950007329
ellipse_71113,13,4,2,False,0.0055932850009412
ellipse_71113,13,4,3,False,0.0059604530033539
ellipse_71113,13,4,4,False,0.0055797370005166
ellipse_71113,13,4,5,False,0.0055731600004946
ellipse_71113,13,4,6,False,0.0056572719986434
ellipse_71113,13,4,7,False,0.005699473000277
ellipse_71113,13,4,8,False,0.005622309003229
ellipse_71113,13,4,9,False,0.0059365950000938
ellipse_71113,13,4,10,False,0.0055227379998541
ellipse_71113,13,4,11,False,0.0055296950013143
ellipse_71113,13,4,12,False,0.0056222899984277
ellipse_71113,13,4,13,False,0.005605161000858
ellipse_71113,13,4,14,False,0.0055302759974438
ellipse_71113,13,4,15,False,0.0056142290013667
ellipse_71113,13,4,16,False,0.0056020470001385
ellipse_71113,13,4,17,False,0.0056484980013919
ellipse_71113,13,4,18,False,0.0055738310002197
ellipse_71113,13,4,19,False,0.0055977800002438
ellipse_71113,13,4,20,False,0.0056020640004135
