system,qmax,seed,false_positive,runtime_s
irrational_pi,16,25,False,0.00631738099764334
irrational_pi,16,26,False,0.006172114997752942
irrational_pi,16,27,False,0.006097048000810901
irrational_pi,16,28,False,0.006155367002065759
irrational_pi,16,29,False,0.006000957000651397
irrational_pi,32,0,False,0.0067658900006790645
irrational_pi,32,1,False,0.006721762001689058
irrational_pi,32,2,False,0.006509339997137431
irrational_pi,32,3,False,0.006657132998952875
irrational_pi,32,4,False,0.006663811000180431
irrational_pi,32,5,False,0.0065501169992785435
irrational_pi,32,6,False,0.006561627000337467
irrational_pi,32,7,False,0.006606975999602582
irrational_pi,32,8,False,0.006616509999730624
irrational_pi,32,9,False,0.006776059002731927
irrational_pi,32,10,False,0.006692961000226205
irrational_pi,32,11,False,0.006559336998179788
irrational_pi,32,12,False,0.006578812000952894
irrational_pi,32,13,False,0.006672529998468235
irrational_pi,32,14,False,0.0066663690013228916
irrational_pi,32,15,False,0.0066016660020977724
irrational_pi,32,16,False,0.00678252999932738
irrational_pi,32,17,False,0.006747729999915464
irrational_pi,32,18,False,0.0066249640003661625
irrational_pi,32,19,False,0.006580654000572395
irrational_pi,32,20,False,0.006585077000636375
irrational_pi,32,21,False,0.006637705999310128
irrational_pi,32,22,False,0.006494014000054449
irrational_pi,32,23,False,0.0067318859983060975
irrational_pi,32,24,False,0.007005604998994386
irrational_pi,32,25,False,0.00693563099775929
irrational_pi,32,26,False,0.006608888001210289
irrational_pi,32,27,False,0.006705280997266527
irrational_pi,32,28,False,0.00660800100013148
irrational_pi,32,29,False,0.006631825999647845
irrational_pi,64,0,False,0.007833240000763908
irrational_pi,64,1,False,0.007869830998970428
irrational_pi,64,2,False,0.00772236499688006
irrational_pi,64,3,False,0.00790942900130176
irrational_pi,64,4,False,0.007736395000392804
irrational_pi,64,5,False,0.007772352997562848
irrational_pi,64,6,False,0.0078006990006542765
irrational_pi,64,7,False,0.0081848620029632
irrational_pi,64,8,False,0.00772129200049676
irrational_pi,64,9,False,0.007925107001938159
irrational_pi,64,10,False,0.007866140997066395
irrational_pi,64,11,False,0.00782883200008655
irrational_pi,64,12,False,0.00808550900183036
irrational_pi,64,13,False,0.007866473999456502
irrational_pi,64,14,False,0.007830351998563856
irrational_pi,64,15,False,0.027857916000357363
irrational_pi,64,16,False,0.007902604997070739
irrational_pi,64,17,False,0.007742985002550995
irrational_pi,64,18,False,0.007843930998205906
irrational_pi,64,19,False,0.008021192999876803
irrational_pi,64,20,False,0.007738153002719628
irrational_pi,64,21,False,0.008486841001285939
irrational_pi,64,22,False,0.007793398999638157
irrational_pi,64,23,False,0.007907680999778677
irrational_pi,64,24,False,0.007862924001528881
irrational_pi,64,25,False,0.007785361998685403
irrational_pi,64,26,False,0.00809754700094345
irrational_pi,64,27,False,0.007780242998705944
