integrator,order,dt,seed,b_hat,c_hat,gap
stormer_verlet,2,0.002,29,-2.312088719941996e-15,1.0000010000010002,1.0000010002286785e-06
stormer_verlet,2,0.005,0,1.2620884269115485e-16,1.0000062500390627,6.250039062738466e-06
stormer_verlet,2,0.005,1,1.0922052427380182e-16,1.0000062500390623,6.250039062294377e-06
stormer_verlet,2,0.005,2,3.5462427183842013e-16,1.000006250039063,6.250039062960511e-06
stormer_verlet,2,0.005,3,1.3763354421972502e-16,1.0000062500390636,6.2500390636266445e-06
stormer_verlet,2,0.005,4,4.282937782966696e-16,1.000006250039062,6.250039062072332e-06
stormer_verlet,2,0.005,5,-2.1698094183692803e-16,1.000006250039064,6.250039064070734e-06
stormer_verlet,2,0.005,6,6.067857759720148e-16,1.0000062500390632,6.250039063182555e-06
stormer_verlet,2,0.005,7,-3.75340377228999e-16,1.0000062500390619,6.250039061850288e-06
stormer_verlet,2,0.005,8,-5.581849780873837e-16,1.0000062500390627,6.250039062738466e-06
