sigma,seed,new_exact,orig_exact,new_time,orig_time
0.02,17,True,True,0.015357017517089844,0.008702516555786133
0.02,18,True,False,0.013337135314941406,0.007802724838256836
0.02,19,True,True,0.015973329544067383,0.008777618408203125
0.02,20,True,False,0.015331029891967773,0.009847640991210938
0.02,21,True,False,0.015680551528930664,0.009883642196655273
0.02,22,True,True,0.008746623992919922,0.004446983337402344
0.02,23,True,True,0.015208959579467773,0.00881338119506836
0.02,24,True,True,0.015313386917114258,0.008640766143798828
0.02,25,True,True,0.009006738662719727,0.0087432861328125
0.02,26,True,False,0.010921478271484375,0.005028963088989258
0.02,27,True,False,0.015678882598876953,0.014428377151489258
0.02,28,True,True,0.008088350296020508,0.007978677749633789
0.02,29,True,True,0.015874624252319336,0.008617401123046875
0.04,0,True,False,0.015201807022094727,0.010010957717895508
0.04,1,True,False,0.008083581924438477,0.012391805648803711
0.04,2,True,False,0.01609063148498535,0.010317564010620117
0.04,3,True,False,0.015664100646972656,0.006451845169067383
0.04,4,True,False,0.015783071517944336,0.013474702835083008
0.04,5,True,False,0.010205507278442383,0.005113840103149414
0.04,6,True,False,0.015601158142089844,0.01022195816040039
0.04,7,True,False,0.010988712310791016,0.008669376373291016
0.04,8,True,False,0.01553797721862793,0.009769439697265625
0.04,9,True,False,0.008570671081542969,0.010029792785644531
0.04,10,True,False,0.015610694885253906,0.009988784790039062
0.04,11,True,False,0.015546560287475586,0.006132602691650391
0.04,12,True,False,0.01596689224243164,0.009825944900512695
0.04,13,True,False,0.008525371551513672,0.00731348991394043
0.04,14,True,False,0.01550745964050293,0.009990692138671875
0.04,15,True,False,0.011017799377441406,0.005098819732666016
0.04,16,True,False,0.007863044738769531,0.005017757415771484
0.04,17,True,False,0.008982658386230469,0.00854945182800293
0.04,18,True,False,0.015619039535522461,0.009579658508300781
0.04,19,True,False,0.008817195892333984,0.005246877670288086
0.04,20,True,False,0.015562295913696289,0.009624481201171875
0.04,21,True,False,0.01564788818359375,0.009779691696166992
0.04,22,True,False,0.008040666580200195,0.009467363357543945
0.04,23,True,False,0.015614748001098633,0.009678363800048828
0.04,24,True,False,0.009949445724487305,0.00982213020324707
0.04,25,True,False,0.015434980392456055,0.009927511215209961
0.04,26,True,False,0.013448238372802734,0.00989985466003418
0.04,27,True,False,0.015869140625,0.017430782318115234
0.04,28,True,False,0.008288145065307617,0.00982046127319336
0.04,29,True,False,0.015520811080932617,0.010213613510131836
0.06,0,True,False,0.011008739471435547,0.009998559951782227
0.06,1,True,False,0.015806913375854492,0.010780572891235352
0.06,2,True,False,0.016013383865356445,0.016913652420043945
0.06,3,True,False,0.015982627868652344,0.013522624969482422
0.06,4,True,False,0.013416528701782227,0.015444517135620117
0.06,5,True,False,0.01591801643371582,0.012826204299926758
0.06,6,True,False,0.012628555297851562,0.0062046051025390625
0.06,7,True,False,0.012451887130737305,0.008989334106445312
0.06,8,True,False,0.015965938568115234,0.01003408432006836
0.06,9,True,False,0.008169889450073242,0.014413595199584961
0.06,10,True,False,0.008842706680297852,0.006451129913330078
0.06,11,True,False,0.01590728759765625,0.011484146118164062
0.06,12,True,False,0.00933384895324707,0.010193347930908203
0.06,13,True,False,0.008880138397216797,0.005492687225341797
0.06,14,True,False,0.01581430435180664,0.009870052337646484
0.06,15,True,False,0.015845775604248047,0.006917476654052734
0.06,16,True,False,0.015610933303833008,0.010603189468383789
0.06,17,True,False,0.008195638656616211,0.008756637573242188
0.06,18,True,False,0.016181468963623047,0.009860038757324219
0.06,19,True,False,0.008147716522216797,0.006557464599609375
0.06,20,True,False,0.008042335510253906,0.00968027114868164
0.06,21,True,False,0.015995264053344727,0.011615514755249023
0.06,22,True,False,0.01563119888305664,0.00986480712890625
0.06,23,True,False,0.01535177230834961,0.010776042938232422
0.06,24,True,False,0.015887022018432617,0.009918928146362305
0.06,25,True,False,0.014258384704589844,0.009766340255737305
0.06,26,True,False,0.01531839370727539,0.00532984733581543
0.06,27,True,False,0.015603065490722656,0.017226457595825195
0.06,28,True,False,0.008295297622680664,0.005669355392456055
0.06,29,True,False,0.015973806381225586,0.009987831115722656
0.08,0,True,False,0.008294343948364258,0.012332439422607422
0.08,1,True,False,0.015769481658935547,0.009207487106323242
0.08,2,True,False,0.015987873077392578,0.009861230850219727
0.08,3,True,False,0.008164405822753906,0.005898714065551758
0.08,4,True,False,0.015816926956176758,0.011578083038330078
0.08,5,True,False,0.009487628936767578,0.009404659271240234
0.08,6,True,False,0.015610694885253906,0.011912345886230469
0.08,7,True,False,0.008122444152832031,0.014126777648925781
0.08,8,True,False,0.010471343994140625,0.0053136348724365234
0.08,9,True,False,0.015625476837158203,0.015437126159667969
0.08,10,True,False,0.008185863494873047,0.012830495834350586
0.08,11,True,False,0.015819311141967773,0.011869668960571289
0.08,12,True,False,0.009339094161987305,0.005230426788330078
0.08,13,True,False,0.008065462112426758,0.0051386356353759766
0.08,14,True,False,0.007938623428344727,0.007451057434082031
0.08,15,True,False,0.015817880630493164,0.011842012405395508
0.08,16,True,False,0.013227462768554688,0.009878158569335938
0.08,17,True,False,0.009571075439453125,0.011899709701538086
0.08,18,True,False,0.01564764976501465,0.009961605072021484
0.08,19,True,False,0.01125955581665039,0.011736869812011719
0.08,20,True,False,0.015706539154052734,0.009976387023925781
0.08,21,True,False,0.008229255676269531,0.0069081783294677734
0.08,22,True,False,0.008104562759399414,0.005140066146850586
0.08,23,True,False,0.012359857559204102,0.012623310089111328
0.08,24,True,False,0.015430688858032227,0.012002944946289062
0.08,25,True,False,0.011871576309204102,0.013312101364135742
0.08,26,True,False,0.016086578369140625,0.010085105895996094
0.08,27,True,False,0.008680105209350586,0.011798620223999023
0.08,28,True,False,0.015744686126708984,0.00876164436340332
0.08,29,True,False,0.01592564582824707,0.0056912899017333984
0.1,0,True,False,0.015917062759399414,0.01724982261657715
